Date,Observed Streamflow(cfs),Simulated Streamflow(cfs)
Jan-2003,19.3532,16.0470
Feb-2003,48.5582,60.4588
Mar-2003,52.3258,25.3206
Apr-2003,27.0200,22.9828
May-2003,22.6097,18.7910
Jun-2003,43.6133,35.1805
Jul-2003,13.1061,24.8686
Aug-2003,16.4532,15.5526
Sep-2003,26.3896,13.8822
Oct-2003,18.7187,15.6939
Nov-2003,25.2266,16.7639
Dec-2003,47.1548,39.7997
Jan-2004,15.6322,19.7162
Feb-2004,51.3689,45.8385
Mar-2004,24.3161,14.7262
Apr-2004,43.2266,27.8880
May-2004,19.5451,16.6014
Jun-2004,13.3613,17.0641
Jul-2004,21.8597,26.6979
Aug-2004,9.0845,8.8958
Sep-2004,7.4167,7.5432
Oct-2004,12.0871,7.5220
Nov-2004,29.0100,20.5390
Dec-2004,22.7484,9.8387
Jan-2005,24.4839,16.1883
Feb-2005,25.1893,26.8851
Mar-2005,33.0838,19.7762
Apr-2005,41.9433,36.6213
May-2005,13.6684,20.0270
Jun-2005,10.1810,7.0700
Jul-2005,14.8116,10.8204
Aug-2005,5.1497,13.0099
Sep-2005,3.7863,1.7958
Oct-2005,43.0838,25.6138
Nov-2005,19.7700,18.4767
Dec-2005,21.8645,19.0735
Jan-2006,28.8064,25.1123
Feb-2006,20.7714,18.6779
Mar-2006,10.6145,10.9228
Apr-2006,14.1667,15.5314
May-2006,5.9806,2.3562
Jun-2006,20.5580,42.0951
Jul-2006,30.1784,44.9556
Aug-2006,8.0016,10.3366
Sep-2006,13.5543,14.8851
Oct-2006,27.8332,17.6997
Nov-2006,35.3333,33.7255
Dec-2006,18.5645,19.5679
Jan-2007,33.5097,36.1269
Feb-2007,15.2150,21.3654
Mar-2007,31.3322,16.5732
Apr-2007,72.6466,60.3175
May-2007,15.3193,17.6538
Jun-2007,12.8713,10.0258
Jul-2007,6.4058,0.6819
Aug-2007,4.5045,3.1137
Sep-2007,1.9723,0.3258
Oct-2007,7.5555,7.4726
Nov-2007,6.2110,2.0751
Dec-2007,16.5642,14.8075
Jan-2008,14.1332,11.5868
Feb-2008,23.3207,16.4461
Mar-2008,23.5290,17.7845
Apr-2008,13.2893,14.1753
May-2008,18.1874,18.7203
Jun-2008,9.3700,16.9864
Jul-2008,6.8061,5.5197
Aug-2008,5.6487,0.7833
Sep-2008,4.8897,4.6015
Oct-2008,4.5416,1.2102
Nov-2008,11.5577,4.6969
Dec-2008,31.5071,20.5920
Jan-2009,21.1877,18.4060
Feb-2009,14.0928,12.3884
Mar-2009,10.5452,6.9958
Apr-2009,23.5333,14.8004
May-2009,23.2993,16.6827
Jun-2009,18.7373,20.8675
Jul-2009,6.4813,8.5497
Aug-2009,17.0248,30.0281
Sep-2009,11.8443,24.3036
Oct-2009,20.9093,20.2742
Nov-2009,18.9900,18.2471
Dec-2009,78.1258,81.1532
Jan-2010,34.0226,31.0452
Feb-2010,48.0571,50.6060
Mar-2010,79.7096,48.2752
Apr-2010,34.9466,31.0557
May-2010,17.3187,30.7662
Jun-2010,13.2287,11.7598
Jul-2010,12.3793,12.8369
Aug-2010,5.9423,1.6178
Sep-2010,6.2657,1.7989
Oct-2010,26.2129,17.0393
Nov-2010,10.2553,4.0541
Dec-2010,12.8645,6.0635
Jan-2011,14.7226,12.8157
Feb-2011,27.5961,21.2771
Mar-2011,34.3419,23.1347
Apr-2011,36.1766,23.0888
May-2011,18.2516,10.4284
Jun-2011,8.9980,5.6892
Jul-2011,17.9442,15.3654
Aug-2011,169.5067,190.8053
Sep-2011,39.7366,35.4206
Oct-2011,27.1839,28.6861
Nov-2011,32.4266,25.2394
Dec-2011,45.7613,34.4354
Jan-2012,26.6387,24.6143
Feb-2012,18.5345,15.1535
Mar-2012,20.2255,15.1853
Apr-2012,15.3473,16.2271
May-2012,8.8806,5.9223
Jun-2012,8.1280,38.1752
Jul-2012,2.5474,15.1959
Aug-2012,5.7355,22.0152
Sep-2012,5.1887,8.9523
Oct-2012,17.6745,54.8084
Nov-2012,9.7863,8.8181
Dec-2012,29.3719,25.6808
Jan-2013,17.8029,19.2783
Feb-2013,19.5928,21.8386
Mar-2013,17.9384,18.4307
Apr-2013,12.9317,17.4737
May-2013,8.8590,11.9011
Jun-2013,61.4873,65.2969
Jul-2013,17.5971,37.1511
Aug-2013,25.1110,19.4337
Sep-2013,17.1290,5.6786
Oct-2013,7.8048,2.0249
Nov-2013,10.3000,8.7227
Dec-2013,28.6397,15.6232
Jan-2014,26.2580,19.7833
Feb-2014,55.2250,39.6231
Mar-2014,39.0419,35.4913
Apr-2014,35.9133,23.0676
May-2014,39.7516,33.1181
Jun-2014,15.0603,11.0394
Jul-2014,11.1500,1.3946
Aug-2014,11.8642,25.3348
Sep-2014,9.7793,7.0312
Oct-2014,8.4355,1.4832
Nov-2014,21.8000,5.1383
Dec-2014,31.9097,11.8905
Jan-2015,42.2193,38.2458
Feb-2015,21.5786,23.2830
Mar-2015,54.6064,43.2605
Apr-2015,25.9700,19.6420
May-2015,10.3703,10.8593
Jun-2015,34.5746,43.5077
Jul-2015,30.2693,46.7920
Aug-2015,6.5064,11.8446
Sep-2015,7.3903,22.9086
Oct-2015,12.4245,13.6173
Nov-2015,14.2607,8.8816
Dec-2015,21.7903,30.1305
